index,age,euducation_level,job,marital,have_credit_card,have_housing_loan,have_personal_loan,connect_method,previous_connect_month,previous_connect_weekday,campaign_connect_times,after_campaign_connect_day,before_campaign_connect_times,last_campaign_outcomes,employment_rate,consumer_price_index,consumer_confidence_index,label
2890,33,medium,employment,married,no,no,no,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2891,35,high,employment,married,no,no,no,cellular,May,Wednesday,2,-1,1,failure,58.2,92.893,-46.2,0
2892,28,medium,employment,single,no,no,no,telephone,May,Friday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2893,42,medium,employment,married,unknown,yes,no,cellular,July,Monday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
2894,41,low,employment,single,no,yes,no,cellular,April,Monday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
2895,36,low,unemployed,single,unknown,yes,no,telephone,May,Tuesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2896,31,high,employment,single,no,yes,no,cellular,November,Thursday,2,-1,0,nonexistent,59.9,93.2,-42,0
2897,45,medium,employment,divorced,no,no,no,cellular,April,Friday,3,-1,0,nonexistent,58.2,93.075,-47.1,0
2898,50,medium,employment,divorced,no,yes,no,cellular,May,Thursday,1,-1,1,failure,58.2,92.893,-46.2,0
2899,43,medium,employment,divorced,no,yes,no,telephone,May,Friday,4,-1,0,nonexistent,61.1,93.994,-36.4,0
2900,37,medium,employment,married,no,no,no,telephone,June,Friday,7,-1,0,nonexistent,61.4,94.465,-41.8,0
2901,30,medium,employment,married,no,unknown,unknown,telephone,May,Wednesday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
2902,28,high,employment,single,no,yes,no,telephone,July,Wednesday,19,-1,0,nonexistent,61.4,93.918,-42.7,0
2903,41,high,employment,single,no,yes,no,cellular,May,Thursday,4,-1,0,nonexistent,58.2,92.893,-46.2,0
2904,44,high,employment,married,no,yes,no,cellular,June,Friday,3,3,1,success,57.1,92.963,-40.8,0
2905,41,medium,employment,married,no,no,no,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2906,41,high,employment,married,unknown,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2907,43,medium,employment,married,no,yes,no,telephone,Octobor,Wednesday,1,-1,0,nonexistent,59.9,93.798,-40.4,1
2908,49,high,employment,married,no,yes,yes,cellular,April,Tuesday,2,-1,3,failure,58.2,93.749,-34.6,1
2909,40,medium,employment,single,unknown,no,no,telephone,May,Tuesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2910,30,medium,employment,married,no,no,yes,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
2911,52,high,employment,divorced,unknown,yes,no,cellular,July,Tuesday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
2912,34,high,employment,married,no,yes,yes,cellular,November,Friday,3,-1,0,nonexistent,59.9,93.2,-42,0
2913,50,high,employment,divorced,no,yes,no,cellular,May,Wednesday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
2914,36,high,employment,married,no,yes,no,cellular,July,Monday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
2915,52,high,employment,married,no,no,no,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
2916,32,medium,employment,married,no,no,yes,cellular,April,Friday,2,-1,0,nonexistent,58.2,93.075,-47.1,0
2917,42,high,employment,married,no,yes,no,cellular,August,Monday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
2918,42,medium,employment,married,no,no,no,telephone,May,Tuesday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
2919,39,high,employment,single,no,yes,no,cellular,May,Tuesday,1,-1,1,failure,58.2,92.893,-46.2,0
2920,25,high,unemployed,married,no,no,no,telephone,July,Friday,15,-1,0,nonexistent,61.4,93.918,-42.7,0
2921,38,medium,employment,married,no,yes,no,cellular,May,Wednesday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
2922,67,high,retired,married,no,yes,yes,cellular,August,Monday,1,-1,0,nonexistent,57.1,92.201,-31.4,0
2923,26,high,student,single,no,no,yes,cellular,May,Monday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
2924,30,low,employment,single,unknown,no,yes,telephone,June,Monday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
2925,37,medium,employment,divorced,no,yes,no,cellular,April,Friday,2,-1,0,nonexistent,58.2,93.075,-47.1,1
2926,32,high,employment,single,no,yes,yes,cellular,May,Monday,3,-1,1,failure,58.2,92.893,-46.2,0
2927,43,low,employment,married,no,yes,no,cellular,June,Monday,4,-1,1,failure,57.1,92.963,-40.8,1
2928,31,high,employment,single,no,yes,no,cellular,August,Wednesday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
2929,44,high,employment,divorced,no,no,no,cellular,September,Tuesday,6,3,3,success,58.9,94.199,-37.5,1
2930,44,medium,employment,married,unknown,no,no,telephone,June,Thursday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
2931,36,medium,employment,single,no,no,no,cellular,November,Thursday,1,-1,0,nonexistent,59.9,93.2,-42,0
2932,58,high,unemployed,married,unknown,yes,no,cellular,August,Thursday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
2933,37,medium,employment,married,unknown,unknown,unknown,cellular,May,Monday,3,-1,1,failure,58.2,92.893,-46.2,0
2934,39,medium,employment,married,no,no,no,cellular,April,Friday,2,-1,0,nonexistent,58.2,93.075,-47.1,0
2935,27,high,employment,single,no,no,no,cellular,July,Thursday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
2936,48,low,unemployed,married,unknown,no,no,cellular,July,Tuesday,6,-1,0,nonexistent,61.4,93.918,-42.7,0
2937,56,low,employment,married,no,no,no,cellular,August,Wednesday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
2938,37,low,employment,married,no,no,no,telephone,May,Friday,17,-1,0,nonexistent,61.1,93.994,-36.4,0
2939,31,high,employment,single,no,yes,no,cellular,August,Thursday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
2940,39,medium,employment,married,unknown,yes,no,cellular,July,Friday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
2941,25,medium,unemployed,single,unknown,yes,no,telephone,June,Tuesday,3,-1,0,nonexistent,61.4,94.465,-41.8,0
2942,34,high,employment,single,unknown,no,no,cellular,July,Wednesday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
2943,66,medium,retired,divorced,no,yes,yes,cellular,Octobor,Monday,2,6,2,success,58.9,94.601,-49.5,1
2944,42,high,employment,single,no,yes,no,telephone,May,Monday,5,-1,0,nonexistent,61.1,93.994,-36.4,0
2945,30,low,employment,married,no,yes,no,cellular,May,Thursday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
2946,25,medium,student,single,no,no,no,telephone,November,Tuesday,2,-1,0,nonexistent,56.6,92.649,-30.1,0
2947,36,high,employment,married,no,yes,yes,telephone,May,Tuesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2948,47,high,employment,married,no,no,no,telephone,May,Tuesday,4,-1,0,nonexistent,61.1,93.994,-36.4,0
2949,51,low,employment,single,no,yes,no,cellular,July,Friday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
2950,40,high,employment,divorced,unknown,no,no,telephone,July,Thursday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
2951,29,high,employment,single,no,yes,no,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,1
2952,56,medium,employment,divorced,unknown,no,no,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2953,29,high,employment,single,no,yes,no,cellular,August,Tuesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
2954,30,high,employment,married,no,yes,no,cellular,June,Monday,1,-1,0,nonexistent,57.1,92.963,-40.8,1
2955,52,low,employment,married,no,yes,no,cellular,August,Tuesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
2956,21,high,student,single,no,yes,no,cellular,November,Friday,3,3,1,success,56.6,92.649,-30.1,0
2957,70,high,retired,married,no,yes,no,cellular,August,Friday,4,-1,0,nonexistent,57.1,92.201,-31.4,1
2958,30,medium,employment,married,no,no,no,telephone,May,Friday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
2959,32,high,employment,married,no,no,no,cellular,May,Thursday,4,-1,0,nonexistent,58.2,92.893,-46.2,0
2960,41,medium,employment,married,no,no,no,telephone,June,Tuesday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
2961,39,medium,employment,single,no,no,no,cellular,April,Thursday,2,-1,0,nonexistent,58.2,93.075,-47.1,0
2962,45,medium,employment,single,no,yes,no,cellular,May,Tuesday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
2963,57,high,unemployed,married,no,yes,no,cellular,July,Thursday,4,-1,0,nonexistent,61.4,93.918,-42.7,0
2964,46,medium,employment,married,no,no,yes,cellular,May,Tuesday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
2965,37,NULL,employment,married,unknown,no,no,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
2966,50,high,employment,married,unknown,no,no,cellular,November,Monday,1,-1,0,nonexistent,59.9,93.2,-42,0
2967,38,medium,employment,married,no,no,no,cellular,May,Friday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
2968,49,medium,employment,married,no,yes,yes,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2969,47,medium,employment,married,no,no,yes,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2970,33,high,employment,single,no,yes,no,cellular,August,Friday,1,2,1,success,57.1,92.201,-31.4,1
2971,34,high,employment,single,no,yes,no,cellular,May,Friday,3,-1,0,nonexistent,58.2,92.893,-46.2,0
2972,46,medium,employment,married,unknown,yes,no,telephone,June,Thursday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
2973,38,high,employment,divorced,unknown,no,no,cellular,August,Monday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
2974,44,high,employment,married,no,no,no,telephone,May,Friday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
2975,31,medium,employment,married,no,no,no,telephone,June,Monday,5,-1,1,nonexistent,61.4,94.465,-41.8,1
2976,48,medium,employment,married,no,yes,no,telephone,June,Thursday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
2977,71,medium,retired,married,no,yes,no,cellular,April,Wednesday,2,-1,0,nonexistent,58.2,93.075,-47.1,0
2978,41,medium,employment,married,no,yes,yes,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2979,38,high,employment,single,no,yes,no,cellular,November,Wednesday,1,-1,1,failure,59.9,93.2,-42,0
2980,46,high,employment,divorced,no,no,no,telephone,Octobor,Monday,1,-1,0,nonexistent,59.9,93.798,-40.4,1
2981,27,medium,employment,married,unknown,yes,yes,cellular,July,Monday,3,-1,0,nonexistent,61.4,93.918,-42.7,0
2982,48,low,unemployed,divorced,no,no,yes,telephone,June,Monday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
2983,59,low,retired,married,no,yes,no,cellular,August,Monday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
2984,45,medium,employment,married,unknown,yes,no,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,1
2985,31,high,employment,single,no,yes,yes,telephone,November,Thursday,2,-1,0,nonexistent,59.9,93.2,-42,0
2986,57,medium,employment,married,no,yes,no,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2987,54,low,retired,married,unknown,yes,no,telephone,May,Wednesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2988,27,medium,employment,single,no,yes,no,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
2989,31,high,unemployed,married,no,yes,no,cellular,August,Thursday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
2990,31,medium,employment,married,no,yes,no,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2991,24,low,employment,single,unknown,no,yes,telephone,May,Tuesday,2,-1,1,nonexistent,61.1,93.994,-36.4,1
2992,40,medium,employment,married,unknown,no,no,telephone,May,Thursday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
2993,29,high,employment,single,no,yes,yes,telephone,May,Thursday,4,-1,0,nonexistent,61.1,93.994,-36.4,0
2994,48,low,employment,married,unknown,no,no,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
2995,51,medium,employment,single,no,yes,no,cellular,November,Thursday,1,-1,0,nonexistent,56.6,92.649,-30.1,1
2996,37,medium,employment,married,no,no,no,cellular,July,Monday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
2997,36,high,employment,single,no,yes,no,cellular,August,Monday,7,-1,0,nonexistent,61.4,93.444,-36.1,0
2998,29,high,unemployed,single,no,no,yes,telephone,May,Wednesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
2999,36,high,employment,married,no,yes,no,telephone,Octobor,Friday,3,-1,1,nonexistent,59.9,93.798,-40.4,1
3000,45,low,employment,married,no,yes,yes,cellular,May,Thursday,5,-1,0,nonexistent,58.2,92.893,-46.2,0
3001,58,high,retired,married,no,yes,no,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3002,33,medium,employment,married,unknown,no,no,telephone,May,Friday,9,-1,0,nonexistent,58.2,92.893,-46.2,0
3003,34,high,employment,married,no,no,no,cellular,April,Thursday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
3004,53,low,employment,divorced,unknown,no,no,telephone,June,Monday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
3005,40,high,employment,divorced,no,no,yes,telephone,Octobor,Friday,2,-1,0,nonexistent,59.9,93.798,-40.4,1
3006,36,high,employment,married,no,no,no,cellular,June,Tuesday,1,6,2,success,58.3,94.055,-39.8,1
3007,37,high,employment,married,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3008,57,high,retired,divorced,no,yes,no,telephone,November,Tuesday,1,-1,0,nonexistent,59.9,93.2,-42,0
3009,32,medium,employment,married,no,no,no,telephone,May,Monday,5,-1,0,nonexistent,61.1,93.994,-36.4,0
3010,62,low,employment,married,no,yes,no,cellular,November,Thursday,1,-1,0,nonexistent,56.6,92.649,-30.1,0
3011,39,medium,employment,married,no,no,no,cellular,November,Monday,1,-1,0,nonexistent,59.9,93.2,-42,0
3012,39,high,employment,single,no,yes,no,cellular,August,Monday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
3013,59,medium,retired,married,unknown,no,yes,telephone,June,Thursday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
3014,46,low,employment,divorced,no,no,no,telephone,May,Monday,7,-1,0,nonexistent,61.1,93.994,-36.4,0
3015,46,low,employment,married,no,no,no,telephone,May,Wednesday,2,-1,0,nonexistent,61.1,93.994,-36.4,1
3016,33,low,employment,single,unknown,no,no,telephone,May,Thursday,7,-1,0,nonexistent,61.1,93.994,-36.4,0
3017,39,high,employment,married,no,yes,yes,cellular,April,Tuesday,2,-1,0,nonexistent,58.2,93.075,-47.1,0
3018,31,high,employment,single,unknown,no,no,cellular,August,Thursday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
3019,40,low,employment,married,no,no,yes,cellular,May,Friday,3,-1,1,nonexistent,58.2,92.893,-46.2,1
3020,30,high,employment,married,unknown,no,no,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3021,37,high,employment,married,no,no,no,cellular,May,Monday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3022,46,low,employment,single,unknown,yes,no,cellular,July,Monday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
3023,30,high,employment,single,no,no,no,cellular,August,Wednesday,6,-1,0,nonexistent,61.4,93.444,-36.1,0
3024,35,medium,employment,married,no,no,yes,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3025,43,high,employment,married,no,yes,no,telephone,May,Tuesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3026,35,medium,employment,married,no,yes,yes,cellular,June,Tuesday,1,-1,1,failure,57.1,92.963,-40.8,0
3027,25,medium,employment,single,no,yes,yes,cellular,May,Friday,6,-1,1,failure,58.2,92.893,-46.2,0
3028,46,medium,employment,married,unknown,yes,no,cellular,August,Thursday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
3029,28,medium,employment,single,no,yes,yes,cellular,May,Tuesday,5,-1,0,nonexistent,58.2,92.893,-46.2,0
3030,49,medium,employment,divorced,no,no,no,telephone,May,Monday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3031,41,low,employment,married,no,no,no,telephone,May,Tuesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3032,27,medium,employment,divorced,no,yes,no,cellular,May,Monday,4,-1,0,nonexistent,58.2,92.893,-46.2,0
3033,58,medium,retired,married,no,yes,no,cellular,July,Wednesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
3034,39,low,employment,married,unknown,no,no,telephone,May,Wednesday,6,-1,0,nonexistent,61.1,93.994,-36.4,0
3035,70,low,employment,married,no,no,yes,cellular,June,Friday,1,3,1,success,58.3,94.055,-39.8,1
3036,30,high,employment,married,no,no,no,cellular,August,Thursday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
3037,33,high,employment,married,no,no,no,cellular,August,Thursday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
3038,40,high,employment,married,no,yes,no,cellular,May,Wednesday,5,-1,0,nonexistent,58.2,92.893,-46.2,0
3039,45,medium,employment,divorced,no,no,no,cellular,July,Thursday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
3040,55,medium,employment,married,no,no,no,cellular,November,Monday,3,-1,0,nonexistent,56.6,92.649,-30.1,0
3041,52,high,employment,divorced,no,no,yes,cellular,August,Tuesday,1,-1,0,nonexistent,61.4,93.444,-36.1,1
3042,27,high,employment,single,no,no,no,telephone,June,Friday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
3043,39,medium,employment,single,no,no,no,telephone,May,Tuesday,3,-1,0,nonexistent,61.1,93.994,-36.4,1
3044,51,medium,employment,married,unknown,no,no,cellular,July,Monday,3,-1,0,nonexistent,61.4,93.918,-42.7,0
3045,30,high,employment,single,no,no,no,cellular,August,Wednesday,4,-1,0,nonexistent,61.4,93.444,-36.1,0
3046,78,medium,retired,divorced,no,no,no,cellular,September,Thursday,1,-1,2,failure,58.9,94.199,-37.5,0
3047,26,high,employment,single,no,yes,no,cellular,May,Tuesday,2,-1,0,nonexistent,58.2,92.893,-46.2,1
3048,50,high,employment,divorced,no,yes,no,cellular,November,Monday,1,-1,0,nonexistent,58.9,94.767,-50.8,1
3049,43,high,employment,married,no,no,no,telephone,Octobor,Friday,2,-1,0,nonexistent,59.9,93.798,-40.4,1
3050,38,medium,employment,married,no,yes,yes,cellular,August,Monday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
3051,31,high,employment,married,no,yes,no,cellular,May,Thursday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3052,29,medium,employment,single,unknown,no,no,cellular,May,Friday,2,-1,1,failure,58.2,92.893,-46.2,0
3053,54,high,employment,divorced,no,yes,no,cellular,November,Wednesday,1,-1,1,failure,59.9,93.2,-42,0
3054,46,high,employment,married,unknown,no,no,telephone,June,Monday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
3055,48,high,employment,divorced,no,yes,no,telephone,June,Wednesday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
3056,31,medium,employment,married,no,no,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3057,45,medium,employment,divorced,no,yes,no,telephone,June,Thursday,3,-1,0,nonexistent,61.4,94.465,-41.8,0
3058,33,high,employment,married,no,yes,no,telephone,May,Friday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3059,25,medium,employment,single,unknown,yes,no,telephone,July,Wednesday,4,-1,0,nonexistent,61.4,93.918,-42.7,0
3060,50,medium,employment,married,unknown,no,no,cellular,May,Thursday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3061,47,medium,employment,married,no,unknown,unknown,telephone,June,Wednesday,4,-1,0,nonexistent,61.4,94.465,-41.8,0
3062,47,high,employment,divorced,no,yes,no,telephone,May,Monday,4,-1,0,nonexistent,61.1,93.994,-36.4,0
3063,28,medium,employment,single,no,yes,no,telephone,May,Friday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3064,42,high,employment,married,no,yes,yes,cellular,August,Monday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
3065,34,low,employment,married,no,yes,no,cellular,November,Thursday,1,-1,0,nonexistent,59.9,93.2,-42,1
3066,40,high,employment,single,no,no,no,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
3067,49,high,employment,married,no,yes,no,cellular,Octobor,Wednesday,3,5,2,success,56.6,92.431,-26.9,1
3068,33,high,employment,single,no,no,no,telephone,November,Thursday,3,-1,0,nonexistent,59.9,93.2,-42,0
3069,71,high,retired,married,no,yes,no,cellular,August,Thursday,1,-1,0,nonexistent,58.3,94.027,-38.3,0
3070,39,medium,employment,married,no,yes,yes,cellular,May,Tuesday,1,-1,0,nonexistent,58.2,92.893,-46.2,1
3071,29,medium,employment,married,unknown,yes,no,telephone,May,Wednesday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
3072,22,low,employment,married,no,unknown,unknown,telephone,May,Tuesday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
3073,28,medium,employment,married,no,no,no,cellular,April,Thursday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
3074,26,medium,student,single,no,no,no,cellular,August,Friday,2,-1,0,nonexistent,57.1,92.201,-31.4,0
3075,26,medium,employment,married,no,yes,no,telephone,May,Friday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
3076,31,medium,employment,married,unknown,no,no,telephone,May,Tuesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3077,43,medium,employment,married,no,no,no,cellular,April,Friday,1,-1,1,failure,58.2,93.075,-47.1,1
3078,47,medium,employment,married,unknown,no,no,cellular,August,Friday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
3079,35,low,employment,single,unknown,yes,no,cellular,November,Wednesday,2,3,1,success,59.9,93.2,-42,0
3080,31,medium,employment,married,no,yes,yes,telephone,June,Monday,1,-1,0,nonexistent,61.4,94.465,-41.8,0
3081,39,medium,employment,married,no,no,no,cellular,May,Tuesday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3082,53,NULL,retired,divorced,unknown,yes,no,cellular,July,Tuesday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
3083,30,high,employment,single,no,no,no,cellular,November,Friday,2,-1,1,failure,59.9,93.2,-42,0
3084,56,medium,employment,married,no,no,no,cellular,May,Thursday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3085,49,low,employment,married,no,yes,no,cellular,August,Tuesday,4,-1,0,nonexistent,61.4,93.444,-36.1,0
3086,32,high,employment,single,unknown,yes,yes,cellular,August,Wednesday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
3087,33,high,employment,married,no,yes,no,telephone,June,Monday,4,-1,0,nonexistent,61.4,94.465,-41.8,0
3088,46,low,employment,married,no,yes,no,cellular,August,Friday,5,-1,0,nonexistent,61.4,93.444,-36.1,0
3089,35,medium,employment,married,no,yes,no,cellular,November,Tuesday,1,-1,0,nonexistent,59.9,93.2,-42,0
3090,29,medium,employment,married,no,no,no,telephone,May,Tuesday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
3091,47,high,employment,married,no,yes,no,cellular,August,Tuesday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
3092,30,high,employment,single,no,yes,no,cellular,August,Wednesday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
3093,41,medium,employment,single,no,yes,no,telephone,July,Thursday,2,-1,0,nonexistent,61.4,93.918,-42.7,0
3094,28,low,employment,married,unknown,yes,no,telephone,June,Friday,3,-1,0,nonexistent,61.4,94.465,-41.8,0
3095,42,high,employment,divorced,no,yes,no,cellular,September,Wednesday,1,-1,1,failure,58.9,94.199,-37.5,0
3096,36,high,employment,married,no,yes,no,telephone,May,Monday,3,-1,0,nonexistent,61.1,93.994,-36.4,0
3097,46,high,employment,married,no,no,no,cellular,July,Friday,1,-1,0,nonexistent,61.4,93.918,-42.7,0
3098,21,high,employment,single,no,yes,yes,cellular,April,Monday,1,-1,0,nonexistent,58.2,93.075,-47.1,0
3099,29,high,employment,single,no,no,no,telephone,June,Tuesday,6,-1,0,nonexistent,61.4,94.465,-41.8,0
3100,40,high,employment,married,unknown,no,no,cellular,April,Tuesday,1,-1,1,failure,58.2,93.075,-47.1,0
3101,26,medium,employment,single,no,yes,no,cellular,July,Tuesday,3,-1,0,nonexistent,61.4,93.918,-42.7,0
3102,30,medium,employment,married,no,yes,no,cellular,May,Tuesday,5,-1,0,nonexistent,58.2,92.893,-46.2,0
3103,47,high,employment,single,no,no,no,cellular,August,Thursday,1,-1,0,nonexistent,61.4,93.444,-36.1,0
3104,40,medium,employment,married,no,yes,yes,cellular,May,Friday,1,-1,0,nonexistent,58.2,92.893,-46.2,0
3105,44,low,employment,married,no,yes,no,cellular,August,Monday,4,-1,1,nonexistent,57.1,92.201,-31.4,1
3106,31,high,employment,single,no,no,no,cellular,May,Friday,1,-1,1,failure,58.2,92.893,-46.2,0
3107,39,medium,employment,married,no,yes,no,cellular,May,Monday,6,-1,0,nonexistent,58.2,92.893,-46.2,0
3108,48,medium,employment,married,no,no,no,cellular,May,Thursday,3,-1,0,nonexistent,58.2,92.893,-46.2,1
3109,60,medium,employment,married,no,no,yes,telephone,May,Monday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
3110,36,high,employment,single,no,yes,no,cellular,November,Wednesday,1,-1,1,failure,59.9,93.2,-42,0
3111,33,medium,employment,married,no,yes,yes,cellular,May,Thursday,2,-1,0,nonexistent,58.2,92.893,-46.2,0
3112,30,high,employment,married,no,no,no,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3113,86,high,retired,married,no,no,no,telephone,December,Wednesday,2,-1,0,nonexistent,57.0,92.713,-33,1
3114,27,medium,employment,married,no,no,yes,cellular,November,Monday,7,-1,0,nonexistent,56.6,92.649,-30.1,0
3115,33,high,employment,married,no,yes,no,cellular,August,Monday,2,-1,0,nonexistent,61.4,93.444,-36.1,0
3116,45,low,employment,married,unknown,no,no,telephone,May,Thursday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3117,36,medium,employment,divorced,no,yes,no,telephone,May,Thursday,5,-1,0,nonexistent,61.1,93.994,-36.4,0
3118,32,high,employment,married,unknown,yes,no,cellular,July,Tuesday,7,-1,0,nonexistent,61.4,93.918,-42.7,0
3119,37,medium,employment,divorced,no,no,no,cellular,May,Friday,2,-1,1,failure,58.2,92.893,-46.2,0
3120,45,high,employment,married,unknown,no,no,telephone,June,Thursday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
3121,32,medium,employment,divorced,no,no,no,cellular,July,Wednesday,3,-1,0,nonexistent,61.4,93.918,-42.7,0
3122,25,medium,employment,single,no,yes,no,cellular,July,Monday,5,-1,0,nonexistent,61.4,93.918,-42.7,0
3123,34,medium,employment,married,unknown,yes,yes,telephone,May,Wednesday,1,-1,0,nonexistent,61.1,93.994,-36.4,0
3124,39,medium,employment,married,no,yes,no,cellular,August,Monday,3,-1,0,nonexistent,61.4,93.444,-36.1,0
3125,31,medium,employment,married,no,no,yes,telephone,June,Wednesday,2,-1,0,nonexistent,61.4,94.465,-41.8,0
3126,38,high,employment,married,no,yes,no,telephone,May,Thursday,2,-1,0,nonexistent,61.1,93.994,-36.4,0
